id_tmdb,title,overview,genres,director,cast,keywords,release_date,popularity,vote_average,vote_count,poster_path
284053,Thor: Ragnarok,"Thor está preso do outro lado do universo. Ele precisa correr contra o tempo para voltar a Asgard e parar Ragnarok, a destruição de seu mundo, que está nas mãos da poderosa e implacável vilã Hela.","Ação, Aventura, Ficção científica",Taika Waititi,"Chris Hemsworth, Mark Ruffalo, Tom Hiddleston","superhero, based on comic, sequel, alien planet, female villain, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), norse god",2017-10-02,120.1427,7.584,21168,/2K45Fp6koAVoeeYS6aMb9BeNt4F.jpg
1257960,Sikandar,"Um trágico acidente leva o poderoso Sikandar a proteger os menos afortunados, usando de todos os meios para enfrentar a corrupção e a ganância.","Ação, Drama",A.R. Murugadoss,"Salman Khan, Rashmika Mandanna, Sathyaraj",,2025-03-29,120.0103,5.1,48,/pVVc22lqclqBgJxaIguRRkfqhT1.jpg
1017163,Força Bruta: Punição,"O detetive Ma Seok-do se junta à Equipe de Investigação Cibernética para prender Baek Chang-ki, um ex-mercenário e chefe de uma organização de jogos de azar online.","Ação, Crime, Drama, Thriller, Comédia",허명행,"마동석, 김무열, 박지환","casino, police, detective, sequel, illegal gambling, manila philippines, online gambling, intense, admiring, amused, compassionate, excited",2024-04-24,118.113,6.8,137,/56fLEVKv5b2XJTiZSzqMnzvZq6P.jpg
1199974,Párvulos: Hijos Del Apocalipsis,,Terror,Isaac Ezban,"Noé Hernández, Carla Adell, Juan Carlos Remolina",,2024-10-18,117.2319,6.605,19,/oAj9KEuPZgQjd0UO2VmBqAY0wnd.jpg
302946,O Contador,"O matemático Christian Wolff sente-se muito mais à vontade lidando com números do que com pessoas. Atualmente, trabalha como contador autônomo para uma das maiores organizações criminosas do mundo. Com a receita federal no encalço, ele resolve mudar de ares e atender um novo cliente, uma empresa de equipamentos robóticos onde um dos funcionários descobriu um desvio gigantesco de recursos. À medida que Christian se aprofunda nos registros da empresa e se aproxima da verdade, o número de cadáveres começa a crescer rapidamente.","Crime, Thriller, Drama",Gavin O'Connor,"Ben Affleck, Cynthia Addai-Robinson, Anna Kendrick","prison, sniper, assassin, autism, military service, money, treasury department, sniper rifle, gunfight, loner, hand to hand combat, numbers, accountant, math genius, brother brother relationship",2016-10-13,114.0473,7.12,6702,/br5SjDttw1AwAiTfneWxZBBaqjC.jpg
1241436,Tempo de Guerra,"Tempo de Guerra faz o espectador se juntar a um pelotão de SEALs da Marinha dos EUA em uma missão de vigilância em território insurgente que não sai conforme o planejado. Uma história visceral e crua sobre a guerra moderna e o sentimento de fraternidade, contada como nunca antes: em tempo real, com base nas memórias daqueles que lutaram.","Guerra, Ação",Ray Mendoza,"D'Pharaoh Woon-A-Tai, Will Poulter, Cosmo Jarvis","u.s. navy seal, docudrama, iraq war, platoon, real time, 2000s, depressing",2025-04-09,113.6207,7.292,521,/rSEAmWjRWOpoZyV7Xh3VjZNsQT2.jpg
1232933,Terror no Rio,Uma equipe de mergulhadores enfrenta um tubarão-touro nas profundezas e um grupo de criminosos implacáveis na superfície.,"Terror, Ação, Aventura, Thriller",Matthew Holmes,"Hermione Corfield, Jake Ryan, Josh McConville","diver, independent film, bullshark",2025-05-02,112.288,6.7,45,/A13KTbv0nQt23aehYZUuhLQnddf.jpg
447273,Branca de Neve,"Quando a Rainha Má manda matarem sua enteada por inveja de sua beleza, Branca de Neve foge do reino. Ela percorre a floresta e acha uma casinha onde vivem sete anões amigáveis com quem passa viver. Porém, a moça ainda não está a salvo, já que a bruxa planeja dar um fim a sua vida com uma maçã envenenada.","Família, Fantasia",Marc Webb,"Rachel Zegler, Gal Gadot, Andrew Burnap","princess, dwarf, fairy tale, poison, musical, apple, based on movie, evil queen, based on fairy tale, live action remake, fantasy, romantic fantasy, bold, sardonic",2025-03-12,111.0743,4.279,1056,/t0mabA2l3KE9Ai350BEKz61Ltor.jpg
351286,Jurassic World: Reino Ameaçado,"Quatro anos após o fechamento do Jurassic World, um vulcão prestes a entrar em erupção põe em risco a vida na ilha Nublar. No local não há mais qualquer presença humana, com os dinossauros vivendo livremente. Diante da situação, é preciso tomar uma decisão: deve-se retornar à ilha para salvar os animais ou abandoná-los para uma nova extinção? Decidida a resgatá-los, Claire convoca Owen a retornar à ilha com ela.","Ação, Aventura, Ficção científica, Thriller",J. A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall","tyrannosaurus rex, volcano, rescue mission, sequel, wild animal, prehistoric creature, dinosaur, genetic engineering, aftercreditsstinger, monster island",2018-06-06,98.91,6.5,12087,/7xykpkKqfBfDgEKvS4jqpFF0S4K.jpg
1403735,లైలా,,"Comédia, Romance",Ram Narayan,"Vishwak Sen, Akansha Sharma, Babloo Prithiveeraj",,2025-02-14,96.3275,4.75,4,/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg
324544,Nas Terras Perdidas,"Uma rainha, desesperada para ganhar o dom da mudança de forma, toma uma atitude ousada: contrata a feiticeira Gray Alys, uma mulher tão temida quanto poderosa. Enviada para a selva fantasmagórica das Terras Perdidas, Alys e seu guia, o andarilho Boyce, devem enganar e lutar contra o homem e o diabo em uma fábula que explora a natureza do bem e do mal, da dívida e da satisfação, do amor e da perda.","Ação, Fantasia, Aventura",Paul W. S. Anderson,"Milla Jovovich, Dave Bautista, Arly Jover","witch, dystopia, sorcery, betrayal, based on short story, sorceress, high fantasy, survival adventure",2025-02-27,95.5181,6.461,459,/c3gA6bnnsXG2JoHBBkXsD6w6emm.jpg
283995,Guardiões da Galáxia - Vol. 2,"Os Guardiões precisam lutar para manter sua recém descoberta família unida, enquanto descobrem os mistérios sobre o verdadeiro pai de Peter Quill.","Ficção científica, Aventura, Ação",James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista","superhero, based on comic, sequel, misfit, space, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), egotistical",2017-04-19,95.1144,7.613,22013,/jGtBLu0JAKf5JxhWgmF68HROzCA.jpg
1232546,Until Dawn: Noite de Terror,"Um ano após o misterioso desaparecimento de sua irmã Melanie, Clover e seus amigos partem para o vale remoto onde o desaparecimento aconteceu em busca de respostas. Ao explorarem um centro de visitantes abandonado, eles acabam sendo caçados por um assassino mascarado e mortos brutalmente um a um... apenas para acordarem no dia seguinte e se encontrarem novamente no começo da mesma tarde. Presos no vale, eles são forçados a reviverem a mesma noite de novo e de novo, com a única mudança sendo a ameaça assassina, cada vez mais assustadora que a última. Com as esperanças no fim, o grupo logo percebe que eles têm apenas mais um limitado número de mortes disponível, e que a única maneira de escaparem é se sobreviverem até o amanhecer.","Terror, Mistério",David F. Sandberg,"Ella Rubin, Michael Cimino, Odessa A'zion","witch, haunting, abandoned house, survival, memory loss, time loop, bear trap, exploding body, death, based on video game, creature feature, knife murder, wendigo, murder mystery, butterfly effect, mine disaster, supernatural horror, body horror, psychological horror, horror, missing people, teen scream",2025-04-23,91.9682,6.556,639,/mUSwXnXI2uZbE7ymwTK28S6QzD1.jpg
1241982,Moana 2,"Depois de receber um chamado inesperado de seus ancestrais navegadores, Moana vai viajar para mares distantes da Oceania, em águas perdidas em uma aventura perigosa.","Animação, Aventura, Família, Comédia",David G. Derrick Jr.,"Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung","sea, ocean, villain, musical, sequel, duringcreditsstinger",2024-11-21,90.5644,7.078,2452,/A1NUWVjoKzWzOdGE01NHquyubkx.jpg
11544,Lilo & Stitch,"Lilo é uma garotinha de cinco anos que ama cuidar de animais. Um dia ela adota um cachorro e decide chamá-lo de Stitch. O que ela não sabe é que Stitch é um alienígena e um dos criminosos mais perigosos da galáxia. Agora, para escapar de seus captores que ainda o persegue, Stitch decide se passar por um cachorro comum, criando com o tempo um laço de amizade com Lilo.","Animação, Família, Comédia",Chris Sanders,"Daveigh Chase, Chris Sanders, Tia Carrere","sibling relationship, mutation, extraterrestrial technology, hawaii, adoption, villain, alien life-form, alien, dog, dead parents, native hawaiian",2002-06-21,89.0873,7.6,6609,/ottRXMCQ9jPB318syTcfIdtJWIE.jpg
11,Guerra nas Estrelas,A princesa Leia é mantida refém pelas forças imperiais comandadas por Darth Vader. Luke Skywalker e Han Solo precisam libertá-la e restaurar a liberdade e a justiça na galáxia.,"Aventura, Ação, Ficção científica",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher","empire, galaxy, rebellion, android, hermit, smuggling (contraband), freedom, rebel, rescue mission, space, planet, desert, super power, oppression, space opera, wizard, totalitarianism, awestruck, excited",1977-05-25,88.7058,8.205,21206,/dw7X9YPjjAfIxKHW04V64Bb9TB0.jpg
299536,Vingadores: Guerra Infinita,"Homem de Ferro, Thor, Hulk e os Vingadores se unem para combater seu inimigo mais poderoso, o maligno Thanos. Em uma missão para coletar todas as seis pedras infinitas, Thanos planeja usá-las para infligir sua vontade maléfica sobre a realidade.","Aventura, Ação, Ficção científica",Joe Russo,"Robert Downey Jr., Chris Evans, Chris Hemsworth","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, superhero team, aftercreditsstinger, marvel cinematic universe (mcu), cosmic",2018-04-25,85.6502,8.236,30608,/d6jUbQj4E4R5MJlFYfdzANEZbkL.jpg
986056,Thunderbolts*,"Depois de se verem presos em uma armadilha mortal, uma equipe não convencional de anti-heróis deve embarcar em uma missão perigosa que os forçará a confrontar os cantos mais sombrios de seus passados.","Ação, Ficção científica, Aventura",Jake Schreier,"Florence Pugh, Sebastian Stan, Julia Louis-Dreyfus","new york city, superhero, villain, based on comic, mental health, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), congressman, father daughter relationship, impeachment, survivor's guilt, antihero, ragtag, band of misfits, sentimental",2025-04-30,85.3542,7.396,1110,/eKD2p840nsRXLUR25ciVsNMJgOB.jpg
822119,Capitão América: Admirável Mundo Novo,"Após se encontrar com o recém-eleito presidente dos EUA, Thaddeus Ross, Sam se vê no meio de um incidente internacional. Ele deve descobrir o motivo por trás de uma conspiração global nefasta antes que o verdadeiro gênio faça o mundo inteiro ser dominado pelo vermelho.","Ação, Thriller, Ficção científica",Julius Onah,"Anthony Mackie, Harrison Ford, Danny Ramirez","hero, usa president, the white house, superhero, revenge, summit, aftercreditsstinger, marvel cinematic universe (mcu), sidekick, assassination attempt, political thriller, treaty, international relations, casual",2025-02-12,84.4449,6.071,2131,/yWOtVhuwJ6f5j9ELD2k3wKELEln.jpg
